ID,Archetype_Category,Product_Title,Subject,Medium_Texture,Lighting_Atmosphere,Color_Palette,Aspect_Ratio_DPI,Full_Automated_Prompt,Negative_Prompt,Target_Interior_Style
11,Biomorphic Kinetic & Metallic Sculpture,Solitary Panther in Obsidian & Champagne Gold,A majestic solitary panther rendered as a fluid kinetic sculpture,Brushed champagne gold and matte obsidian marble seamless fusion,"Dramatic directional chiaroscuro lighting, deep void background","Champagne gold, obsidian black, rich bronze, charcoal",--ar 4:5 --stylize 750,"A majestic solitary panther rendered as a fluid kinetic sculpture, brushed champagne gold and matte obsidian marble seamless fusion, dramatic directional chiaroscuro lighting deep void background volumetric shadows, champagne gold obsidian black rich bronze charcoal palette, gallery exhibition piece --ar 4:5 --stylize 750","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Executive Office / High-End Lounge
12,Biomorphic Kinetic & Metallic Sculpture,Abstract Fluid Wave in Liquid Titanium & Brass,A frozen dynamic wave structure bursting with kinetic energy,Polished liquid titanium and hand-hammered raw brass,"Ray-traced studio reflections, high contrast highlights","Metallic silver, warm brass, deep navy blue, charcoal",--ar 16:9 --stylize 800,"A frozen dynamic wave structure bursting with kinetic energy, polished liquid titanium and hand-hammered raw brass, ray-traced studio reflections high contrast highlights, metallic silver warm brass deep navy blue charcoal palette, monumental fine art --ar 16:9 --stylize 800","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Luxury Penthouse Living Room
13,Biomorphic Kinetic & Metallic Sculpture,Celestial Stag in Blown Glass & Gold Leaf,A stately stag with biomorphic antlers composed of twisting glass tendrils,Smoked blown glass and floating 24k gold leaf flakes inside,Volumetric light rays passing through translucent glass,"Smoked amber, deep emerald, liquid gold, black void",--ar 3:4 --stylize 700,"A stately stag with biomorphic antlers composed of twisting glass tendrils, smoked blown glass and floating 24k gold leaf flakes inside, volumetric light rays passing through translucent glass, smoked amber deep emerald liquid gold black void palette, fine art luxury print --ar 3:4 --stylize 700","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Fireplace Mantel / Private Library
14,Biomorphic Kinetic & Metallic Sculpture,Interlocking Rings in Brushed Copper & Concrete,Monumental kinetic rings suspended in a delicate state of balance,Oxidized brushed copper and ultra-smooth raw architectural concrete,Dramatic rim lighting highlighting metallic edges,"Coppery rust, verdigris blue, slate gray, dark titanium",--ar 1:1 --stylize 650,"Monumental kinetic rings suspended in a delicate state of balance, oxidized brushed copper and ultra-smooth raw architectural concrete, dramatic rim lighting highlighting metallic edges, coppery rust verdigris blue slate gray dark titanium palette, gallery canvas piece --ar 1:1 --stylize 650","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Industrial Loft / Foyer
15,Biomorphic Kinetic & Metallic Sculpture,Fluid Horse Silhouette in Rose Gold Chrome,A galloping horse form composed of continuous fluid ribbon curves,Mirror-finish rose gold liquid chrome and smoked quartz stone base,"Sleek studio reflection mapping, soft ambient shadows","Rose gold, champagne, deep midnight blue, soft bronze",--ar 4:5 --stylize 800,"A galloping horse form composed of continuous fluid ribbon curves, mirror-finish rose gold liquid chrome and smoked quartz stone base, sleek studio reflection mapping soft ambient shadows, rose gold champagne deep midnight blue soft bronze palette, high-end fine art --ar 4:5 --stylize 800","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Luxury Dressing Room / Suite
16,Biomorphic Kinetic & Metallic Sculpture,Biomorphic Monolith with Liquid Gold Core,A split stone monolith revealing a molten liquid gold core,Rough-hewn basalt stone and flowing molten 24k gold alloy,Warm internal luminescence radiating from the center rift,"Deep charcoal, molten gold, warm bronze, raven black",--ar 3:4 --stylize 750,"A split stone monolith revealing a molten liquid gold core, rough-hewn basalt stone and flowing molten 24k gold alloy, warm internal luminescence radiating from the center rift, deep charcoal molten gold warm bronze raven black palette, museum quality art print --ar 3:4 --stylize 750","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Executive Boardroom / Luxury Bar Lounge
17,Biomorphic Kinetic & Metallic Sculpture,Dynamic Falcon in Brushed Bronze Mesh,An abstract falcon spreading its wings in geometric metal layers,Brushed antique bronze mesh and iridescent peacock feather inlay,Dramatic top-down spotlighting casting intricate mesh shadows,"Patina bronze, teal green, deep gold, obsidian",--ar 4:5 --stylize 700,"An abstract falcon spreading its wings in geometric metal layers, brushed antique bronze mesh and iridescent peacock feather inlay, dramatic top-down spotlighting casting intricate mesh shadows, patina bronze teal green deep gold obsidian palette, exhibition statement art --ar 4:5 --stylize 700","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Sophisticated Den / Gentleman's Lounge
18,Biomorphic Kinetic & Metallic Sculpture,Kinetic Ribbon Sphere in Chrome & Gold,Intertwined metal ribbons forming a hollow spherical sculpture,Dual-tone mirror chrome and 18k yellow gold polish,"Studio softbox reflections, pristine high-key atmosphere","Polished silver, rich yellow gold, stark black, graphite",--ar 1:1 --stylize 600,"Intertwined metal ribbons forming a hollow spherical sculpture, dual-tone mirror chrome and 18k yellow gold polish, studio softbox reflections pristine high-key atmosphere, polished silver rich yellow gold stark black graphite palette, fine art digital print --ar 1:1 --stylize 600","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Contemporary Living Room / Modern Stairwell
19,Biomorphic Kinetic & Metallic Sculpture,Organic Archway in Liquid Amber & Brass,An abstract curving portal arch rendered in fluid organic geometry,Translucent liquid amber resin and brushed warm brass,Golden sunset backlighting illuminating resin translucency,"Honey amber, burnt orange, polished brass, dark mocha",--ar 3:4 --stylize 750,"An abstract curving portal arch rendered in fluid organic geometry, translucent liquid amber resin and brushed warm brass, golden sunset backlighting illuminating resin translucency, honey amber burnt orange polished brass dark mocha palette, gallery statement print --ar 3:4 --stylize 750","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Grand Entrance Hallway / Luxury Villa
20,Biomorphic Kinetic & Metallic Sculpture,Twisting DNA Helix in Titanium & Quartz,A futuristic architectural spiral structure rising elegantly,Brushed dark titanium and translucent clear quartz crystal,Cool directional laser lighting with volumetric haze,"Titanium gray, crystal blue, platinum, deep charcoal",--ar 4:5 --stylize 700,"A futuristic architectural spiral structure rising elegantly, brushed dark titanium and translucent clear quartz crystal, cool directional laser lighting with volumetric haze, titanium gray crystal blue platinum deep charcoal palette, museum quality art --ar 4:5 --stylize 700","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Tech Headquarters / Modern Innovation Lab
21,Luminescent Botanical & Macro Surrealism,Lotus in Bioluminescent Amber & Emerald,Ethereal macro depiction of an oversized blooming lotus flower with gilded vines,"Translucent glass-like petals, liquid amber droplets, gilded leaf accents","Soft ambient bioluminescence, atmospheric mist, moody room glow","Deep emerald, burnt ochre, liquid amber, midnight indigo",--ar 3:4 --stylize 650,"Ethereal macro depiction of an oversized blooming lotus flower with gilded vines, translucent glass-like petals liquid amber droplets gilded leaf accents, soft ambient bioluminescence atmospheric mist moody room glow, deep emerald burnt ochre liquid amber midnight indigo palette, hyper-detailed museum print --ar 3:4 --stylize 650","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Moody Bedroom / Velvet Interior Salon
22,Luminescent Botanical & Macro Surrealism,Macro Orchid in Obsidian & Gold Leaf,Macro closeup of a rare black orchid with delicate gold veins,Velvet black petals with raised 24k gold leaf filigree veins,Dramatic rim illumination against deep shadow,"Velvet black, rich gold, subtle deep magenta, dark plum",--ar 4:5 --stylize 700,"Macro closeup of a rare black orchid with delicate gold veins, velvet black petals with raised 24k gold leaf filigree veins, dramatic rim illumination against deep shadow, velvet black rich gold subtle deep magenta dark plum palette, luxury gallery canvas --ar 4:5 --stylize 700","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Glamour Boutique Suite / Luxury Powder Room
23,Luminescent Botanical & Macro Surrealism,Gilded Monstera Leaf in Smoked Glass,A single giant Monstera leaf draped in liquid gold and dew drops,"Smoked glass finish, brushed gold leaf edges, wet crystal drops","Soft directional studio lighting, dramatic shadow contrast","Forest green, brushed gold, smoked gray, deep sage",--ar 3:4 --stylize 600,"A single giant Monstera leaf draped in liquid gold and dew drops, smoked glass finish brushed gold leaf edges wet crystal drops, soft directional studio lighting dramatic shadow contrast, forest green brushed gold smoked gray deep sage palette, fine art print --ar 3:4 --stylize 600","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Biophilic Luxury Living Room / Urban Oasis
24,Luminescent Botanical & Macro Surrealism,Bioluminescent Meadow in Midnight Indigo,An surreal nocturnal wildflower field glowing under moonlight,"Iridescent glass powder, wet oil paint glaze, dark velvet background",Ethereal moonlight and glowing floral spore particles,"Midnight indigo, cobalt blue, glowing violet, soft platinum",--ar 16:9 --stylize 750,"An surreal nocturnal wildflower field glowing under moonlight, iridescent glass powder wet oil paint glaze dark velvet background, ethereal moonlight and glowing floral spore particles, midnight indigo cobalt blue glowing violet soft platinum palette, panoramic luxury print --ar 16:9 --stylize 750","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Panoramic Master Suite / High-End Lounge
25,Luminescent Botanical & Macro Surrealism,Floating Magnolia in Liquid Mercury,A pristine magnolia bloom hovering above a mirror of liquid silver,"Porcelain petal texture, reflective liquid mercury surface",Soft ethereal glow with subtle rippling silver reflections,"Pure ivory, liquid silver, soft pearl gray, subtle rose",--ar 4:5 --stylize 650,"A pristine magnolia bloom hovering above a mirror of liquid silver, porcelain petal texture reflective liquid mercury surface, soft ethereal glow with subtle rippling silver reflections, pure ivory liquid silver soft pearl gray subtle rose palette, statement fine art --ar 4:5 --stylize 650","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Sophisticated Luxury Bedroom / Spa
26,Luminescent Botanical & Macro Surrealism,Crystalline Rose in Smoked Quartz,Macro view of a frozen rose sculpted from smoked quartz and gold,"Smoked crystal facets, micro gold leaf dusting on petal tips","Internal crystalline refractivity, moody spotlighting","Smoked quartz gray, warm champagne gold, deep burgundy",--ar 1:1 --stylize 700,"Macro view of a frozen rose sculpted from smoked quartz and gold, smoked crystal facets micro gold leaf dusting on petal tips, internal crystalline refractivity moody spotlighting, smoked quartz gray warm champagne gold deep burgundy palette, square art piece --ar 1:1 --stylize 700","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Luxury Walk-In Closet / Vanity Room
27,Luminescent Botanical & Macro Surrealism,Dark Academia Botanical Study in Copper,Vintage scientific botanical illustration reimagined in 3D metallic depth,"Aged dark parchment backdrop, embossed copper foil details",Warm candlelight-style mood illumination,"Deep espresso, antiqued copper, olive green, warm bronze",--ar 3:4 --stylize 600,"Vintage scientific botanical illustration reimagined in 3D metallic depth, aged dark parchment backdrop embossed copper foil details, warm candlelight-style mood illumination, deep espresso antiqued copper olive green warm bronze palette, gallery archive artwork --ar 3:4 --stylize 600","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Dark Academia Study / Private Library
28,Luminescent Botanical & Macro Surrealism,Gilded Ginkgo Leaves in Slate Blue,A cascading cluster of fan-shaped Ginkgo Biloba leaves,24k gold leafing and textured dark slate blue backdrop,Directional side light illuminating gold leaf texture,"Rich gold, slate blue, deep navy, warm ivory",--ar 4:5 --stylize 650,"A cascading cluster of fan-shaped Ginkgo Biloba leaves, 24k gold leafing and textured dark slate blue backdrop, directional side light illuminating gold leaf texture, rich gold slate blue deep navy warm ivory palette, high-end wall decor --ar 4:5 --stylize 650","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Dining Room / Modern Foyer
29,Luminescent Botanical & Macro Surrealism,Ethereal Bonsai in Smoked Glass Container,A miniature ancient pine tree with glowing golden needles,"Smoked hand-blown glass, weathered driftwood, moss",Soft ambient bioluminescence radiating from needles,"Pine green, golden light, charcoal gray, earthy brown",--ar 4:5 --stylize 750,"A miniature ancient pine tree with glowing golden needles, smoked hand-blown glass weathered driftwood moss, soft ambient bioluminescence radiating from needles, pine green golden light charcoal gray earthy brown palette, gallery fine art --ar 4:5 --stylize 750","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Japandi Executive Office
30,Luminescent Botanical & Macro Surrealism,Translucent Poppy in Obsidian & Bronze,Macro view of a delicate red poppy made of liquid ruby glass,"Liquid glass, polished obsidian stone stem, bronze pollen",Dramatic backlight illuminating translucent ruby petals,"Deep crimson, obsidian black, rich bronze, burgundy",--ar 3:4 --stylize 700,"Macro view of a delicate red poppy made of liquid ruby glass, liquid glass polished obsidian stone stem bronze pollen, dramatic backlight illuminating translucent ruby petals, deep crimson obsidian black rich bronze burgundy palette, statement fine art piece --ar 3:4 --stylize 700","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Dining Room / Gallery Space
31,Neofuturistic Editorial & Brutalist Architecture,Brutalist Archway with Cobalt Accent,Minimalist avant-garde composition featuring a figure walking through a brutalist archway,Raw concrete wall finish and brushed titanium surface,"High-contrast studio lighting, Vogue editorial aesthetic","Monochromatic slate, raw concrete gray, cobalt blue accent",--ar 16:9 --stylize 500,"Minimalist avant-garde composition featuring a figure walking through a brutalist archway, raw concrete wall finish and brushed titanium surface, high-contrast studio lighting architectural spatial balance Vogue editorial aesthetic clean negative space, monochromatic slate raw concrete cobalt blue accent palette, architectural photo art --ar 16:9 --stylize 500","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Loft / Fashion Brand Office
32,Neofuturistic Editorial & Brutalist Architecture,Monolithic Staircase in Raw Plaster & Glass,A floating cantilevered spiral staircase in a vast minimalist hall,Smooth architectural micro-cement and smoked glass railing,Dramatic sky-well daylight beam cutting through shadows,"Cool cement gray, stark white, dark charcoal, steel",--ar 3:4 --stylize 550,"A floating cantilevered spiral staircase in a vast minimalist hall, smooth architectural micro-cement and smoked glass railing, dramatic sky-well daylight beam cutting through shadows, cool cement gray stark white dark charcoal steel palette, fine art print --ar 3:4 --stylize 550","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Contemporary Living Hall / Architecture Firm
33,Neofuturistic Editorial & Brutalist Architecture,Geometric Silhouette in Matte Chrome & Onyx,"Abstract geometric intersection of spheres, cubes, and arches","Matte silver chrome, polished black onyx, raw sandstone","Chiaroscuro studio spotlighting, editorial shadow play","Stark black, silver chrome, taupe, chalk white",--ar 4:5 --stylize 600,"Abstract geometric intersection of spheres cubes and arches, matte silver chrome polished black onyx raw sandstone, chiaroscuro studio spotlighting editorial shadow play, stark black silver chrome taupe chalk white palette, museum gallery print --ar 4:5 --stylize 600","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",High-Fashion Boutique / Executive Lounge
34,Neofuturistic Editorial & Brutalist Architecture,Futuristic Courtyard with Reflection Pool,A serene open-air minimalist courtyard centered around a mirrored pool,Raw travertine slabs and pristine water surface reflection,Soft dusk sky gradient reflected in water,"Sand beige, indigo dusk blue, warm travertine, white",--ar 16:9 --stylize 650,"A serene open-air minimalist courtyard centered around a mirrored pool, raw travertine slabs and pristine water surface reflection, soft dusk sky gradient reflected in water, sand beige indigo dusk blue warm travertine white palette, panoramic architectural print --ar 16:9 --stylize 650","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Panoramic Living Room Wall / Luxury Resort
35,Neofuturistic Editorial & Brutalist Architecture,Minimalist Sphere on Slanted Concrete Plane,A colossal matte black sphere balanced on an inclined concrete plane,Cast concrete with formwork line impressions and matte rubber sphere,Hard directional sunlight casting elongated sharp shadows,"Slate gray, pitch black, chalk white, subtle ochre",--ar 1:1 --stylize 500,"A colossal matte black sphere balanced on an inclined concrete plane, cast concrete with formwork line impressions and matte rubber sphere, hard directional sunlight casting elongated sharp shadows, slate gray pitch black chalk white subtle ochre palette, square editorial piece --ar 1:1 --stylize 500","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Creative Studio / Tech Executive Office
36,Neofuturistic Editorial & Brutalist Architecture,Avant-Garde Portal in Brushed Brass & Shadow,A circular portal opening into a shadowed minimalist abyss,Heavy brushed brass ring set in rough plaster wall,Dramatic rim lighting from inside the circular cavity,"Warm brass gold, deep charcoal shadow, off-white plaster",--ar 4:5 --stylize 600,"A circular portal opening into a shadowed minimalist abyss, heavy brushed brass ring set in rough plaster wall, dramatic rim lighting from inside the circular cavity, warm brass gold deep charcoal shadow off-white plaster palette, editorial art print --ar 4:5 --stylize 600","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Luxury Penthouse Foyer / Modern Salon
37,Neofuturistic Editorial & Brutalist Architecture,Cantilevered Villa Silhouette at Sunset,Architectural study of a modern minimalist cliffside pavilion,"Board-formed concrete, blackened steel frames, expansive glass",Warm golden sunset horizon with moody architectural shadows,"Sunset orange, deep charcoal, warm beige, bronze",--ar 16:9 --stylize 700,"Architectural study of a modern minimalist cliffside pavilion, board-formed concrete blackened steel frames expansive glass, warm golden sunset horizon with moody architectural shadows, sunset orange deep charcoal warm beige bronze palette, architectural art print --ar 16:9 --stylize 700","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Villa Living Room / Design Studio
38,Neofuturistic Editorial & Brutalist Architecture,Curved Monolithic Partition in Crimson & Slate,A monumental sweeping wall dividing an expansive empty gallery,Smooth matte crimson Venetian plaster and slate floor,High-fashion overhead softbox illumination,"Rich crimson red, slate gray, stark black, ivory",--ar 3:4 --stylize 550,"A monumental sweeping wall dividing an expansive empty gallery, smooth matte crimson Venetian plaster and slate floor, high-fashion overhead softbox illumination, rich crimson red slate gray stark black ivory palette, Vogue fashion editorial style --ar 3:4 --stylize 550","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Contemporary Art Collector's Lounge
39,Neofuturistic Editorial & Brutalist Architecture,Minimalist Facade Grid with Crimson Sun,A geometric building facade grid framing a vast crimson sun disk,Raw concrete grid modules and warm glowing sun halo,Silhouetted geometry with intense backlight intensity,"Deep crimson, charcoal gray, muted taupe, black",--ar 4:5 --stylize 650,"A geometric building facade grid framing a vast crimson sun disk, raw concrete grid modules and warm glowing sun halo, silhouetted geometry with intense backlight intensity, deep crimson charcoal gray muted taupe black palette, gallery editorial artwork --ar 4:5 --stylize 650","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Executive Office / Urban Loft
40,Neofuturistic Editorial & Brutalist Architecture,Abstract Spatial Tension in Zinc & Plaster,Two massive sculptural planes hovering millimeters apart without touching,Weathered zinc plate and rough ivory plaster panel,Crisp side light emphasizing the narrow gap of space between,"Zinc blue-gray, ivory plaster, deep shadow black, taupe",--ar 1:1 --stylize 500,"Two massive sculptural planes hovering millimeters apart without touching, weathered zinc plate and rough ivory plaster panel, crisp side light emphasizing the narrow gap of space between, zinc blue-gray ivory plaster deep shadow black taupe palette, square fine art piece --ar 1:1 --stylize 500","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Minimalist Residence / Gallery Corridor
41,Heritage Renaissance & Chiaroscuro Revival,Dramatic Chiaroscuro Still Life with Pears & Gold,A moody still life composition featuring ripe pears on a pewter platter,Heavy oil glaze on linen canvas with visible impasto and craquelure,"Single candlesource chiaroscuro directional beam, Rembrandt lighting","Deep umber, warm amber, olive green, pewter gray, black void",--ar 4:5 --stylize 750,"A moody still life composition featuring ripe pears on a pewter platter, heavy oil glaze on linen canvas with visible impasto and craquelure, single candlesource chiaroscuro directional beam Rembrandt lighting, deep umber warm amber olive green pewter gray black void palette, museum archive piece --ar 4:5 --stylize 750","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Traditional Dining Room / Luxury Kitchen
42,Heritage Renaissance & Chiaroscuro Revival,Veiled Renaissance Portrait in Crimson Silk,A noble figure in profile veiled in translucent crimson silk drapery,"Traditional Venetian oil painting technique, sfumato blending","Soft dramatic window light from the left, deep shadow falling right","Rich Venetian crimson, warm skin tone, gold embroidery, deep umber",--ar 3:4 --stylize 800,"A noble figure in profile veiled in translucent crimson silk drapery, traditional Venetian oil painting technique sfumato blending, soft dramatic window light from the left deep shadow falling right, rich Venetian crimson warm skin tone gold embroidery deep umber palette, fine art museum replica --ar 3:4 --stylize 800","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Grand Dining Hall / Heritage Library
43,Heritage Renaissance & Chiaroscuro Revival,Storm over Tuscan Cypress in Oil & Bronze,A dramatic moody landscape featuring ancient cypress trees under storm clouds,Textured oil paint palette knife work on aged canvas,Dramatic sunbreak ray piercing through dark tempestuous clouds,"Dark indigo sky, ochre fields, deep cypress green, golden sunlight",--ar 16:9 --stylize 700,"A dramatic moody landscape featuring ancient cypress trees under storm clouds, textured oil paint palette knife work on aged canvas, dramatic sunbreak ray piercing through dark tempestuous clouds, dark indigo sky ochre fields deep cypress green golden sunlight palette, museum quality canvas --ar 16:9 --stylize 700","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Traditional Living Room / Estate Library
44,Heritage Renaissance & Chiaroscuro Revival,Anatomical Horse Study in Sepia & Chalk,A Da Vinci-style anatomical equine study with delicate handwritten notes,"Aged yellowed parchment paper, sepia ink, white chalk highlights",Warm vintage museum display lighting,"Sepia brown, aged cream parchment, charcoal, white chalk",--ar 4:5 --stylize 600,"A Da Vinci-style anatomical equine study with delicate handwritten notes, aged yellowed parchment paper sepia ink white chalk highlights, warm vintage museum display lighting, sepia brown aged cream parchment charcoal white chalk palette, vintage fine art print --ar 4:5 --stylize 600","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Executive Study / Equestrian Lounge
